Total count: 602
"Event","User","Timestamp","Event Details"
"Login_Success","phz-dc-admin","Sep 02, 2026, 10:15:30 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 10:15:30 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 10:15:30 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.151.195"
"File_Exported","phz-dc-admin","Sep 02, 2026, 10:12:39 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 10:12:36 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 10:12:36 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 10:12:36 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.151.195"
"File_Exported","phz-dc-admin","Sep 02, 2026, 10:06:12 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 10:06:09 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 10:06:09 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 10:06:09 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.48"
"File_Exported","phz-dc-admin","Sep 02, 2026, 09:54:14 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:54:11 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:54:11 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:54:11 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.48"
"New_File_Transferred","TestMQTT","Sep 02, 2026, 09:51:05 AM (UTC)","File '174433_0f2a95d740da45fbb5d3f2b8507fdaf8.pdf.axx' (34739 bytes) uploaded to MQTT://174433_0f2a95d740da45fbb5d3f2b8507fdaf8.pdf.axx from TestMQTT"
"Sample_Point_Response_Sent","-","Sep 02, 2026, 09:51:05 AM (UTC)","Sample point response ""174433_0f2a95d740da45fbb5d3f2b8507fdaf8.pdf"" published to MQTT topic PHIZZLE/LABWARE/US/HQ-TEST/RESPONSE/DATA/B77M0001/296"
"New_File_Transferred","TestMQTT","Sep 02, 2026, 09:48:32 AM (UTC)","File '174433_a01c3c2b91bc49e2871f279d2864f1f0.pdf.axx' (33712 bytes) uploaded to MQTT://174433_a01c3c2b91bc49e2871f279d2864f1f0.pdf.axx from TestMQTT"
"Sample_Point_Response_Sent","-","Sep 02, 2026, 09:48:32 AM (UTC)","Sample point response ""174433_a01c3c2b91bc49e2871f279d2864f1f0.pdf"" published to MQTT topic PHIZZLE/LABWARE/US/HQ-TEST/RESPONSE/DATA/B77M0001/296"
"File_Exported","phz-dc-admin","Sep 02, 2026, 09:42:51 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:42:47 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:42:47 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:42:47 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.151.195"
"File_Exported","phz-dc-admin","Sep 02, 2026, 09:41:09 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:41:04 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:41:04 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:41:04 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.151.195"
"File_Exported","phz-dc-admin","Sep 02, 2026, 09:37:42 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:37:39 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:37:39 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:37:39 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.48"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:34:52 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:34:52 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:34:52 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.155.45"
"File_Exported","phz-dc-admin","Sep 02, 2026, 09:27:37 AM (UTC)","Audits exported as CSV by 'phz-dc-admin'"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:27:33 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:27:33 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:27:33 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.104"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:24:20 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:24:20 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:24:20 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.104"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:18:28 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:18:28 AM (UTC)"
"Session_Invalidated_By_Login","phz-dc-admin","Sep 02, 2026, 09:18:28 AM (UTC)","Previous session for user 'phz-dc-admin' was terminated because the same user signed in from IP 10.0.134.104"
"Login_Success","phz-dc-admin","Sep 02, 2026, 09:04:39 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 09:04:39 AM (UTC)"
"Login_Failed","phz-dc-admin","Sep 02, 2026, 09:04:35 AM (UTC)","Invalid credentials for 'phz-dc-admin' "
"Logout","phz-dc-admin","Sep 02, 2026, 08:01:05 AM (UTC)","Session for user 'phz-dc-admin' expired after 30 minutes inactivity"
"Login_Success","phz-dc-admin","Sep 02, 2026, 07:59:42 AM (UTC)","User 'phz-dc-admin' logged in  at Sep 02, 2026, 07:59:42 AM (UTC)"
"New_File_Transferred","TestMQTT","Sep 02, 2026, 05:20:25 AM (UTC)","File 'SN000016_174433_33c305c8ae9e4509914bc20ca7ec2db1.pdf.axx' (27484 bytes) uploaded to MQTT://SN000016_174433_33c305c8ae9e4509914bc20ca7ec2db1.pdf.axx from TestMQTT"
"Sample_Point_Response_Sent","-","Sep 02, 2026, 05:20:25 AM (UTC)","Sample point response ""SN000016_174433_33c305c8ae9e4509914bc20ca7ec2db1.pdf"" published to MQTT topic PHIZZLE/LABWARE/US/HQ-TEST/RESPONSE/DATA/B77M0001/500"
"Request_Sent_To_Puck","-","Sep 02, 2026, 05:19:30 AM (UTC)","Successfully sent sample request 'SN000016' to puck 'TestMQTT' with instrument id B77M0001"
"Sample_Point_Request_Received","-","Sep 02, 2026, 05:19:29 AM (UTC)","Received sample request 'SN000016' for instrument B77M0001"
